id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1554717,41.3232784421648,-72.9619797409973,Open,Street Lamp,Lite goes on and off all nite...mostly off.  Reported months ago and nothing was done!,3,2015-03-26T18:11:03-04:00,2015-03-26T20:06:39-04:00,,None
1554713,41.3108978271484,-72.9302673339844,Acknowledged,Traffic Signal / Pedestrian Signal,Pedestrian signal is not functioning at York and Elm.  I waited through three light change cycles and no pedestrian signal ever appeared at busy rush hour.,6,2015-03-26T18:07:24-04:00,2015-03-27T13:00:15-04:00,2015-03-27T12:47:22-04:00,None
1554712,41.3197392330109,-72.8895065266635,Acknowledged,"Public Space, Streets and Drains",Catch basin/storm drain clogged with leaves and debris. Flooding covers half of northbound Front St in heavy rain. ,2,2015-03-26T18:06:47-04:00,2015-03-27T09:18:11-04:00,2015-03-27T09:18:10-04:00,None
1554709,41.3252927390653,-72.9627307595215,Acknowledged,Pot holes,Many potholes as one drives from Willard to Fountain.  You have to drive in the center of Alden to avoid them!  Some are pretty deep.,3,2015-03-26T18:03:21-04:00,2015-03-27T09:06:17-04:00,2015-03-27T09:06:17-04:00,None
1554623,41.318212,-72.941019,Closed,red car parked partially in bike lane,This red car has been partially out of the parking lane and in the bike lane for months. ,3,2015-03-26T16:56:05-04:00,2015-03-27T21:02:59-04:00,2015-03-26T18:51:29-04:00,2015-03-27T21:02:59-04:00
1554550,41.3263255306962,-72.9409166153442,Acknowledged,Potholes,A  deep pothole just at the corner turn onto Norton Parkway from Crescent St.,4,2015-03-26T16:15:30-04:00,2015-03-26T17:25:39-04:00,2015-03-26T16:18:34-04:00,None
1554406,41.323977,-72.947819,Acknowledged,Hangers,,2,2015-03-26T14:51:03-04:00,2015-03-27T10:04:50-04:00,2015-03-27T10:02:51-04:00,None
1554394,41.3203167,-72.9621789,Acknowledged,stump,,2,2015-03-26T14:47:20-04:00,2015-03-26T14:48:15-04:00,2015-03-26T14:47:58-04:00,None
1554385,41.299364,-72.8926,Acknowledged,stump,,2,2015-03-26T14:46:52-04:00,2015-03-26T14:48:28-04:00,2015-03-26T14:47:58-04:00,None
1554383,41.318311,-72.965855,Acknowledged,stump,,2,2015-03-26T14:46:30-04:00,2015-03-26T14:48:41-04:00,2015-03-26T14:47:59-04:00,None
1554382,41.3082629,-72.91159,Acknowledged,stump,,2,2015-03-26T14:46:03-04:00,2015-03-26T14:49:16-04:00,2015-03-26T14:47:59-04:00,None
1554380,41.31844,-72.964348,Acknowledged,stump,,2,2015-03-26T14:45:35-04:00,2015-03-26T14:49:01-04:00,2015-03-26T14:47:59-04:00,None
1554335,41.280612,-72.896736,Closed,Tree Trimming,,2,2015-03-26T14:27:19-04:00,2015-03-26T14:28:16-04:00,,2015-03-26T14:28:16-04:00
1554321,41.280436,-72.896793,Closed,Tree Trimming,,2,2015-03-26T14:24:17-04:00,2015-03-26T14:24:29-04:00,,2015-03-26T14:24:29-04:00
1554316,41.279504,-72.896302,Closed,Tree Trimming,,2,2015-03-26T14:22:51-04:00,2015-03-26T14:23:17-04:00,,2015-03-26T14:23:17-04:00
1554300,41.27736,-72.896952,Closed,Tree Trimming,,2,2015-03-26T14:18:51-04:00,2015-03-26T14:19:10-04:00,,2015-03-26T14:19:10-04:00
1554162,41.3110805,-72.9488981,Open,"Public Space, Streets and Drains","Large puddle in front of property sewer drain is blocked, called 3x this week, problem still exist.",2,2015-03-26T13:11:32-04:00,2015-03-26T15:11:15-04:00,,None
1554086,41.3090169,-72.8755937,Acknowledged,Potholes,This hole is around 3 ft in dimension and 1ft in height. So this is really bad hole and needs to be fixed. ,4,2015-03-26T12:47:37-04:00,2015-03-26T16:19:07-04:00,2015-03-26T16:19:07-04:00,None
1554031,41.313464,-72.9379699,Acknowledged,(EONP) Elm St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on both sides of Elm St, from Howe St to Park St, meter numbers 12808-12812  and 12805-12803 due to tree work.",2,2015-03-26T12:36:35-04:00,2015-03-26T12:44:29-04:00,2015-03-26T12:44:29-04:00,None
1554029,41.2700699,-72.895867,Acknowledged,stump,,2,2015-03-26T12:35:34-04:00,2015-03-26T12:37:13-04:00,2015-03-26T12:37:02-04:00,None
1554028,41.334551,-72.930119,Open,Tree Trimming,The tree in front of my property is touching the house and squirrels have begun to make holes in my house.  please trim it back so that squirrels are no longer able to access the building from it.,1,2015-03-26T12:35:30-04:00,2015-03-26T12:35:30-04:00,,None
1554026,41.3300696,-72.9180237,Acknowledged,stump,,2,2015-03-26T12:35:00-04:00,2015-03-26T12:37:35-04:00,2015-03-26T12:37:02-04:00,None
1554024,41.2996777,-72.8922078,Acknowledged,stump,,2,2015-03-26T12:34:30-04:00,2015-03-26T12:38:04-04:00,2015-03-26T12:37:02-04:00,None
1554023,41.2998649,-72.892415,Acknowledged,stump,,2,2015-03-26T12:33:58-04:00,2015-03-26T12:38:37-04:00,2015-03-26T12:37:02-04:00,None
1554022,41.299759,-72.892452,Acknowledged,stump,,2,2015-03-26T12:33:38-04:00,2015-03-26T12:38:20-04:00,2015-03-26T12:37:03-04:00,None
1554018,41.3150363,-72.9170602,Closed,(EONP) Orange St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the odd side of 15 Orange St, from meter numbers 05110 through 05114 due to utility work for U.I.",2,2015-03-26T12:32:02-04:00,2015-03-28T11:02:34-04:00,2015-03-26T12:45:18-04:00,2015-03-28T11:02:34-04:00
1554009,41.3150363,-72.9170602,Closed,(EONP) Orange St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the odd side of 165 Orange St, from meter numbers 05420 through 05426 due to utility work for U.I.",2,2015-03-26T12:28:37-04:00,2015-03-28T11:03:59-04:00,2015-03-26T12:47:04-04:00,2015-03-28T11:03:59-04:00
1553999,41.3150363,-72.9170602,Closed,(EONP) Orange St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the odd side of 139 Orange St, from meter numbers 05402 through 05412 due to utility work for U.I.",2,2015-03-26T12:24:54-04:00,2015-03-28T11:06:17-04:00,2015-03-26T12:47:50-04:00,2015-03-28T11:06:17-04:00
1553987,41.315727,-72.945531,Open,Sidewalks and Curb damage,"My side walk has become so damaged that I may have to put up caution tape it has become not passible.
This issue can't wait another year I pay my taxes and should have  this problem resolved.",2,2015-03-26T12:19:38-04:00,2015-03-26T12:44:56-04:00,,None
1553984,41.3150363,-72.9170602,Closed,(EONP) Orange St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the odd side of 71 Orange St, from meter numbers 05218 through 05202 due to utility work for U.I.",2,2015-03-26T12:18:35-04:00,2015-03-28T11:05:15-04:00,2015-03-26T12:48:40-04:00,2015-03-28T11:05:15-04:00
1553977,41.3060093,-72.9296141,Acknowledged,(EONP) Crown St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the even side of 74 Crown St, for meter #: 04201 to 04203 due to the U.I. slicing cable.",2,2015-03-26T12:13:54-04:00,2015-03-26T12:49:54-04:00,2015-03-26T12:49:54-04:00,None
1553971,41.3072866,-72.9286877,Acknowledged,(EONP) College St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the even side of 250 College St, from meter numbers 15409 to 15413 due to utility work for U.I.",2,2015-03-26T12:10:19-04:00,2015-03-26T12:52:35-04:00,2015-03-26T12:52:34-04:00,None
1553621,41.299433,-72.891921,Acknowledged,stump,,2,2015-03-26T11:42:56-04:00,2015-03-26T11:43:31-04:00,2015-03-26T11:43:31-04:00,None
1553607,41.2977652,-72.8926027,Open,Potholes,Just saw a crew filling potholes on Townsend ave and I think the road was worse than when they started. Maybe they should be trained in road repair. Just a thought.,2,2015-03-26T11:36:59-04:00,2015-03-26T11:38:24-04:00,,None
1553570,41.3096397,-72.9369319,Acknowledged,(EONP) Dwight St.,"There will be an Emergency Order No Parking ban on Friday, March 27th on the odd side of Dwight St, from George St. to 481 Dwight St due to the replacement of a utility poIe.",2,2015-03-26T11:23:16-04:00,2015-03-26T12:51:24-04:00,2015-03-26T12:51:24-04:00,None
1553563,41.340015,-72.971971,Acknowledged,Potholes,"Several potholes from 58 - 70 Taylor Avenue, New Haven, CT 06515",2,2015-03-26T11:20:52-04:00,2015-03-26T16:16:57-04:00,2015-03-26T16:16:57-04:00,None
1553369,41.3090926550734,-72.9262510423278,Closed,Tree Trimming,"Elm Street btwn College Street and Temple Street

streetlights",2,2015-03-26T09:56:24-04:00,2015-03-26T12:50:16-04:00,,2015-03-26T09:56:47-04:00
1553353,41.316352,-72.896829,Closed,Tree Trimming,,2,2015-03-26T09:49:18-04:00,2015-03-26T12:48:24-04:00,,2015-03-26T09:49:28-04:00
1553342,41.316352,-72.896829,Acknowledged,stump,,2,2015-03-26T09:44:58-04:00,2015-03-26T09:45:50-04:00,2015-03-26T09:45:49-04:00,None
1553338,41.3171449,-72.949567,Acknowledged,stump,,2,2015-03-26T09:42:38-04:00,2015-03-26T09:43:49-04:00,2015-03-26T09:43:49-04:00,None
1553274,41.318218,-72.963531,Open,Wire down from pole,There's a downed wire at 812 Edgewood. It doesn't appear to be live. It is close to a school.,5,2015-03-26T09:02:08-04:00,2015-03-27T10:54:58-04:00,,None
1553247,41.3082514,-72.8862312,Acknowledged,Traffic light timing issue,"The timing of the light, especially in the morning, appears to have been reset and is now an issue. If you are traveling on east grand avenue the green light has too short of a duration which is causing back ups at the light. The green light when you are traveling on Quinnipiac avenue is extremely long (much longer than is needed).  You sit at the red light while traveling on  east grand avenue for a long time without seeing anyone traveling on Quinnipiac ifor lengths of time on many occasions.",5,2015-03-26T08:35:39-04:00,2015-03-26T09:07:15-04:00,2015-03-26T08:52:32-04:00,None
1553239,41.30918338,-72.935140308,Open,#seeclickfix #graffiti,https://instagram.com/p/0sNPtNSlN2 #instagram,1,2015-03-26T08:30:09-04:00,2015-03-26T08:30:09-04:00,,None
1553225,41.314093589,-72.946498612,Open,#seeclickfix #graffiti,https://instagram.com/p/0sLKUqylM8 #instagram,1,2015-03-26T08:20:13-04:00,2015-03-26T08:20:13-04:00,,None
1553173,41.3302,-72.98188,Open,Other,New telephone pole in between 88 - 100 Lawncrest Rd developing a sink hole around the base.  No number on pole,4,2015-03-26T07:31:59-04:00,2015-03-26T09:15:21-04:00,,None
1553166,41.320178,-72.954944,Acknowledged,Tree Trimming - DANGER,A tree in front of the sidewalk is growing between power lines and branches are also falling on cars.  I called UI electric and they said its the city's problem.,4,2015-03-26T07:22:31-04:00,2015-03-26T15:01:36-04:00,2015-03-26T13:15:03-04:00,None
1553138,41.347859,-72.954887,Open,Request for volunteers,No lighting at all in this area.. end of Augustine st,2,2015-03-26T01:20:16-04:00,2015-03-26T03:54:55-04:00,,None
1553100,41.3145917,-72.9006735,Open,Potholes,On Blatclhley between Lombard and State there are many potholes. Street is in need of repair.,4,2015-03-25T22:42:03-04:00,2015-03-26T09:45:56-04:00,,None
1553096,41.2877969,-72.8939676,Open,Street Lights,Proespect Ave has the older style street lamps. Other streets in the area have the newer ones and I would like Prospect Ave to be upgraded with the new brighter ones. ,3,2015-03-25T22:37:50-04:00,2015-03-26T07:32:40-04:00,,None
1553074,41.2877969,-72.8939676,Open,Street Sign,The street sign on Prospect AVE needs to be replaced. It is an older style and faded. ,2,2015-03-25T22:18:43-04:00,2015-03-26T07:31:44-04:00,,None
1553051,41.3199799,-72.9000762,Open,Street Lamp,Street lamps are not working,1,2015-03-25T21:49:27-04:00,2015-03-25T21:49:27-04:00,,None
